timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,moving,characteristic_num
1624715057.213661,-81,30,-114,-11,-94,0,-63,-37,,0
1624715057.213661,29,-105,127,127,-128,2,23,-23,,0
1624715057.234564,4,127,-67,-3,127,-4,99,74,,1
1624715057.234564,31,-25,9,-86,-126,5,-73,-44,,1
1624715057.236224,-128,-128,-21,-88,-128,-4,-64,-128,,2
1624715057.236224,-55,-57,44,50,127,5,57,-67,,2
1624715057.248876,127,127,21,-21,-128,5,127,-24,,3
1624715057.248876,73,44,88,120,117,-6,121,85,,3
1624715057.250454,-128,21,-98,-47,-34,-1,64,-38,,0
1624715057.250454,3,-49,-16,-112,-16,5,-128,-128,,0
1624715057.272288,61,94,64,-9,-10,-2,101,127,,1
1624715057.272288,-27,127,36,7,-128,-2,-128,64,,1
1624715057.273828,-23,-128,94,49,127,-2,-26,-34,,2
1624715057.273828,-60,127,-62,-45,-128,-2,73,34,,2
1624715057.294822,28,-128,7,-66,-72,1,-128,26,,3
1624715057.294822,-42,35,65,-128,127,-2,61,-43,,3
1624715057.296798,-37,-65,-47,127,-106,3,-24,24,,0
1624715057.296798,127,127,55,86,-103,-2,127,95,,0
1624715057.308584,-54,96,12,-72,10,4,-115,-106,,1
1624715057.308584,125,-7,-128,-43,125,2,127,37,,1
1624715057.316489,-82,-66,127,42,-32,-5,-128,-128,,2
1624715057.316489,11,-39,-53,-82,75,15,-128,-128,,2
1624715057.332206,1,-46,-11,86,-105,5,127,39,,3
1624715057.332206,51,127,49,93,127,-2,-108,-28,,3
1624715057.333675,-128,-38,-5,-43,-44,-1,-128,-128,,0
1624715057.333675,127,-60,8,47,37,-4,127,127,,0
1624715057.354938,-45,-128,61,-83,127,-1,127,12,,1
1624715057.354938,10,7,20,122,-128,-2,-128,-102,,1
1624715057.357698,8,-84,-61,-15,-25,4,2,-16,,2
1624715057.357698,-5,61,66,67,-25,-2,72,44,,2
1624715057.368431,35,-29,26,34,21,8,-85,18,,3
1624715057.368431,-15,-13,-20,-71,127,-9,72,29,,3
1624715057.378228,-23,-1,-3,35,-127,1,127,11,,0
1624715057.378228,12,-128,57,-76,-7,0,-128,-21,,0
1624715057.391853,-20,-128,-71,5,99,7,94,-105,,1
